,source_file,speaker_id,utterance,utt_id,region_id,q_type,target
0,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"[You know what] I'm saying, that's just [me.]",1210,ATL,q_say,"I'm saying,"
1,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"You know what [I'm saying,]",1801,ATL,q_say,"I'm saying,"
2,ATL_se0_ag2_f_01_1,ATL_se0_ag2_f_01,"I'm like, nah, like",1524,ATL,q_like_contracted,"I'm like,"
4,ATL_se0_ag2_m_03_1,ATL_se0_ag2_m_03,"he was like,",1237,ATL,q_like_copula,"he was like,"
6,ATL_se0_ag2_m_03_1,ATL_se0_ag2_m_03,"[you] see what [I'm saying, could be] letting them hoes,",1818,ATL,q_say,"I'm saying,"
7,ATL_se0_ag2_m_01_1,ATL_se0_ag2_m_01,"because they know the system a little better, so they say, uh-uh you ain't gonna put that on me.",195,ATL,q_say,"they say,"
8,ATL_se0_ag2_m_01_1,ATL_se0_ag2_m_01,"[It was a whole] bunch of people on the docks and I'm like,",1107,ATL,q_like_contracted,"and I'm like,"
9,ATL_se0_ag2_m_01_1,ATL_se0_ag2_m_01,"And they was like, Freaknik.",1124,ATL,q_like_copula,"And they was like,"
10,ATL_se0_ag2_m_01_1,ATL_se0_ag2_m_01,"[I was like, yo.]",1217,ATL,q_like_copula,"I was like,"
11,ATL_se0_ag1_m_03_1,ATL_se0_ag1_m_03,"And in a lot of th- the Southern drawl that they have- the, oh man, hey, /oh, we got to got way, we gotta./ (nonstandard pronunciation) I'm like,",282,ATL,q_like_contracted,"I'm like,"
12,ATL_se0_ag1_m_03_1,ATL_se0_ag1_m_03,"like have [like a- like] a seafood platter out, and I be like, [this is cool], but I can't eat this. [<laugh>]",403,ATL,q_like_copula,"and I be like,"
13,ATL_se0_ag1_m_03_1,ATL_se0_ag1_m_03,"I thought of- like when I first heard, I was like, /I/ got a",470,ATL,q_like_copula,"I was like,"
14,ATL_se0_ag1_m_03_1,ATL_se0_ag1_m_03,"oh, everything tastes better with bacon on it. So they was like, alright, we'll-",481,ATL,q_like_copula,"they was like,"
15,ATL_se0_ag1_m_03_1,ATL_se0_ag1_m_03,"And [I'm like, y'all really gonna do that.] But then I try it, and I was like,",485,ATL,q_like_copula,"and I was like,"
16,ATL_se0_ag1_m_03_1,ATL_se0_ag1_m_03,"And [I'm like, y'all really gonna do that.] But then I try it, and I was like,",485,ATL,q_like_contracted,"I'm like,"
17,ATL_se0_ag1_m_03_1,ATL_se0_ag1_m_03,I'm telling y- I feel like-,721,ATL,q_tell,I'm telling y-
18,ATL_se0_ag1_m_03_1,ATL_se0_ag1_m_03,Jordan is going to win- he's going- a- and that's another reason why I exp-,861,ATL,q_go,he's going-
19,ATL_se0_ag1_m_03_1,ATL_se0_ag1_m_03,I think-,890,ATL,q_think,I think-
20,ATL_se0_ag1_m_03_1,ATL_se0_ag1_m_03,"I think- yeah, a- you should pass the ball, you get your teammates involved, but",892,ATL,q_think,I think-
21,ATL_se0_ag1_m_03_1,ATL_se0_ag1_m_03,That closer. He's that- he go-,958,ATL,q_go,he go-
22,ATL_se0_ag1_m_03_1,ATL_se0_ag1_m_03,"I think like,",975,ATL,q_think,"I think like,"
23,ATL_se0_ag1_m_03_1,ATL_se0_ag1_m_03,"And I say- I say, yeah, she's from- she's from Portland. She's from Oregon.",1479,ATL,q_say,And I say-
23,ATL_se0_ag1_m_03_1,ATL_se0_ag1_m_03,"And I say- I say, yeah, she's from- she's from Portland. She's from Oregon.",1479,ATL,q_say,"I say,"
24,ATL_se0_ag1_m_03_1,ATL_se0_ag1_m_03,"[Don't ever] c- don't- she said, I don't ever wanna see either one of y'all again.",1491,ATL,q_say,"she said,"
25,ATL_se0_ag1_m_03_1,ATL_se0_ag1_m_03,"I was like, wait [that's not your] [girlfriend?]",1853,ATL,q_like_copula,"I was like,"
26,ATL_se0_ag1_m_03_1,ATL_se0_ag1_m_03,"She told me she liked me. I was like, shit I like you too homie and what's up?",1889,ATL,q_like_copula,"I was like,"
27,ATL_se0_ag1_m_03_1,ATL_se0_ag1_m_03,"[purple eyeshadow.] I'm like, dang what's up? You from Grape Street?",1958,ATL,q_like_contracted,"I'm like,"
28,ATL_se0_ag1_m_03_1,ATL_se0_ag1_m_03,"She's like, yeah I'm Grape Street. I'm little something some some, what's up cuz?",1959,ATL,q_like_contracted,"She's like,"
29,ATL_se0_ag1_m_03_1,ATL_se0_ag1_m_03,[I'm like-],1961,ATL,q_like_contracted,I'm like-
30,ATL_se0_ag1_m_03_1,ATL_se0_ag1_m_03,"And so [like we kind of like had like a] rocky road after that. Like she be like, oh you always aks me about this purple, cause you a Blood, and you j- a slob ass. And I'm like, yo calm down with that slob word, and",1965,ATL,q_like_contracted,"And I'm like,"
31,ATL_se0_ag1_m_03_1,ATL_se0_ag1_m_03,"you a slob. You a- we started going at it, and next thing you know, I was like, you know what, fuck it. I ain't f- get away from me, like stop talk- we- we done.",1979,ATL,q_like_copula,"I was like,"
32,ATL_se0_ag1_m_03_1,ATL_se0_ag1_m_03,"She said, well if you break up with me,",1983,ATL,q_say,"She said,"
33,ATL_se0_ag1_m_03_1,ATL_se0_ag1_m_03,"it's gonna be hell for you. And I was like, well bring it on. I don't give-",1985,ATL,q_like_copula,"And I was like,"
34,ATL_se0_ag1_m_03_1,ATL_se0_ag1_m_03,"[I'm like, hold on, man. What the-]",2007,ATL,q_like_contracted,"I'm like,"
35,ATL_se0_ag1_m_03_1,ATL_se0_ag1_m_03,"Crip, you finna feel this shit. And I'm like, [ah.]",2025,ATL,q_like_contracted,"And I'm like,"
36,ATL_se0_ag1_m_03_1,ATL_se0_ag1_m_03,"I'm going- I'm- they beat the hell out of me, but some- it was a couple of 'em that got it.",2065,ATL,q_go,I'm going-
37,ATL_se0_ag1_m_03_1,ATL_se0_ag1_m_03,"I'm like, come on, man, not agai- y'all done already jumped- come on, man.",2091,ATL,q_like_contracted,"I'm like,"
38,ATL_se0_ag1_m_03_1,ATL_se0_ag1_m_03,"ha- I heard the <sound effect> I was like, oh my god, they shooting.",2095,ATL,q_like_copula,"I was like,"
39,ATL_se0_ag1_m_03_1,ATL_se0_ag1_m_03,"I was so mad. I was heartbroken. Like oh c- I was like, this bitch just really just",2119,ATL,q_like_copula,"I was like,"
40,ATL_se0_ag1_m_03_1,ATL_se0_ag1_m_03,"she said, you gonna pay for this. I did.",2134,ATL,q_say,"she said,"
41,ATL_se0_ag1_m_03_1,ATL_se0_ag1_m_03,"on like the disrespectful shit. And I be like, uh, I ain't tryna hear that. I ain't-",2145,ATL,q_like_copula,"And I be like,"
42,ATL_se0_ag1_m_03_1,ATL_se0_ag1_m_03,She was like [dark skin] too.,2164,ATL,q_like_copula,She was like [
43,ATL_se0_ag1_m_03_1,ATL_se0_ag1_m_03,"And I was like, ay man, I'm straight. He was like, man I heard they-",2187,ATL,q_like_copula,"And I was like,"
43,ATL_se0_ag1_m_03_1,ATL_se0_ag1_m_03,"And I was like, ay man, I'm straight. He was like, man I heard they-",2187,ATL,q_like_copula,"He was like,"
44,ATL_se0_ag1_m_03_1,ATL_se0_ag1_m_03,"my peoples was all- I was like, yeah man, y'all peoples /on real/ some bullshit.",2191,ATL,q_like_copula,"I was like,"
