,source_file,speaker_id,utterance,utt_id,region_id,c_type,target
0,ATL_se0_ag2_f_02_1,ATL_se0_ag2_f_02,I'm black.,38,ATL,contracted,I'm
1,ATL_se0_ag2_f_02_1,ATL_se0_ag2_f_02,he's my friend and producer.,76,ATL,contracted,he's
2,ATL_se0_ag2_f_02_1,ATL_se0_ag2_f_02,"when I was a kid,",102,ATL,copula,I was
3,ATL_se0_ag2_f_02_1,ATL_se0_ag2_f_02,I was addicted to it.,104,ATL,copula,I was
4,ATL_se0_ag2_f_02_1,ATL_se0_ag2_f_02,"Yes. Directly before I came here, I was in Gainesville, Florida.",152,ATL,copula,I was
5,ATL_se0_ag2_f_02_1,ATL_se0_ag2_f_02,moved a lot when I was young.,180,ATL,copula,I was
6,ATL_se0_ag2_f_02_1,ATL_se0_ag2_f_02,"And my son has cerebral palsy, so he's",182,ATL,contracted,he's
7,ATL_se0_ag2_f_02_1,ATL_se0_ag2_f_02,kind of like to keep him where he's comfortable.,186,ATL,contracted,he's
8,ATL_se0_ag2_f_02_1,ATL_se0_ag2_f_02,"when he gets out of school, I'm definitely leaving.",190,ATL,contracted,I'm
9,ATL_se0_ag2_f_02_1,ATL_se0_ag2_f_02,did really good in school. I was all A's on the,242,ATL,copula,I was
10,ATL_se0_ag2_f_02_1,ATL_se0_ag2_f_02,I'm a teen mother. I guess,260,ATL,contracted,I'm
11,ATL_se0_ag2_f_02_1,ATL_se0_ag2_f_02,And I'm still in college for psychiatry,276,ATL,contracted,I'm
12,ATL_se0_ag2_f_02_1,ATL_se0_ag2_f_02,"Actually I'm learning about politics right now, and I do not like politics at all.",294,ATL,contracted,I'm
13,ATL_se0_ag2_f_02_1,ATL_se0_ag2_f_02,"And I'm doing Intellipaths which are questions on the politics,",296,ATL,contracted,I'm
14,ATL_se0_ag2_f_02_1,ATL_se0_ag2_f_02,"To me, he's-",330,ATL,contracted,he's
15,ATL_se0_ag2_f_02_1,ATL_se0_ag2_f_02,"has money, but he's rather",332,ATL,contracted,he's
16,ATL_se0_ag2_f_02_1,ATL_se0_ag2_f_02,"Well, I'm a Christian. Um,",368,ATL,contracted,I'm
17,ATL_se0_ag2_f_02_1,ATL_se0_ag2_f_02,"I'm actually a pastor,",370,ATL,contracted,I'm
18,ATL_se0_ag2_f_02_1,ATL_se0_ag2_f_02,"Not so much as religion, but I'll say I'm",374,ATL,contracted,I'm
19,ATL_se0_ag2_f_02_1,ATL_se0_ag2_f_02,"<ts> no, my music is very versatile. It's very mainstream. Like I said, I'm not religious, so",459,ATL,contracted,I'm
20,ATL_se0_ag2_f_02_1,ATL_se0_ag2_f_02,"I'm able to deliver and still have fun and not really part- feel a particular way about it. I believe that God is my only judge, but",461,ATL,contracted,I'm
21,ATL_se0_ag2_f_02_1,ATL_se0_ag2_f_02,"people are real inconsistent, and I'm not good at editing, so it kind of [makes it discouraging.] (laughing)",659,ATL,contracted,I'm
22,ATL_se0_ag2_f_02_1,ATL_se0_ag2_f_02,"I don't know what he did. [I'm not] God, [but]",762,ATL,contracted,I'm
23,ATL_se0_ag2_f_02_1,ATL_se0_ag2_f_02,when he's,778,ATL,contracted,he's
24,ATL_se0_ag2_f_02_1,ATL_se0_ag2_f_02,That's me. I [stay in my lane.] [I'm the boss of me.],864,ATL,contracted,I'm
25,ATL_se0_ag2_f_02_1,ATL_se0_ag2_f_02,That really is. I think I'm'a go for president too.,878,ATL,contracted,I'm
26,ATL_se0_ag2_f_02_1,ATL_se0_ag2_f_02,I think I'm definitely moving to another country.,880,ATL,contracted,I'm
27,ATL_se0_ag2_f_02_1,ATL_se0_ag2_f_02,"Nah, I haven't used that camera at all. I told you I'm not good at editing, so I'm not about to",934,ATL,contracted,I'm
27,ATL_se0_ag2_f_02_1,ATL_se0_ag2_f_02,"Nah, I haven't used that camera at all. I told you I'm not good at editing, so I'm not about to",934,ATL,contracted,I'm
28,ATL_se0_ag2_f_02_1,ATL_se0_ag2_f_02,I don't think they want us to be turnt at all unless we're gay.,1075,ATL,contracted,we're
29,ATL_se0_ag2_f_02_1,ATL_se0_ag2_f_02,"Nah, I'm for real.",1105,ATL,contracted,I'm
30,ATL_se0_ag2_f_02_1,ATL_se0_ag2_f_02,Can I google while we're on this interview?,1114,ATL,contracted,we're
31,ATL_se0_ag2_f_02_1,ATL_se0_ag2_f_02,"Um, actually thankfully, I don't have any coworkers. I'm an independent contractor.",1220,ATL,contracted,I'm
32,ATL_se0_ag2_f_02_1,ATL_se0_ag2_f_02,"Yeah, I'm definitely not from there.",1363,ATL,contracted,I'm
33,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,I was named,6,ATL,copula,I was
34,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"Uh, I'm a professional musician",118,ATL,contracted,I'm
35,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"high level contracts. I think she was like a grade thirteen or something like that,",144,ATL,copula,she was
36,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"<exhale> he's been a, uh,",150,ATL,contracted,he's
37,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"all of his life, so he's been preaching.",156,ATL,contracted,he's
38,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"[Um, and] he's- he was also a former musician",158,ATL,contracted,he's
39,ATL_se0_ag2_m_02_1,ATL_se0_ag2_m_02,"[Um, and] he's- he was also a former musician",158,ATL,copula,he was
